potential (V),current density (mA/cm2)
1.347,5.05E+00
1.348,5.06E+00
1.349,5.07E+00
1.35,5.07E+00
1.351,5.08E+00
1.352,5.08E+00
1.353,5.09E+00
1.354,5.10E+00
1.355,5.10E+00
1.356,5.11E+00
1.357,5.12E+00
1.358,5.12E+00
1.359,5.13E+00
1.36,5.13E+00
1.361,5.14E+00
1.362,5.14E+00
1.363,5.15E+00
1.364,5.15E+00
1.365,5.16E+00
1.366,5.16E+00
1.367,5.17E+00
1.368,5.17E+00
1.369,5.18E+00
1.37,5.18E+00
1.371,5.19E+00
1.372,5.19E+00
1.373,5.20E+00
1.374,5.21E+00
1.375,5.21E+00
1.376,5.22E+00
1.377,5.22E+00
1.378,5.23E+00
1.379,5.23E+00
1.38,5.24E+00
1.381,5.25E+00
1.382,5.25E+00
1.383,5.26E+00
1.384,5.27E+00
1.385,5.27E+00
1.386,5.28E+00
1.387,5.28E+00
1.388,5.29E+00
1.389,5.29E+00
1.39,5.30E+00
1.391,5.31E+00
1.392,5.31E+00
1.393,5.32E+00
1.394,5.32E+00
1.395,5.33E+00
1.396,5.33E+00
1.397,5.34E+00
1.398,5.34E+00
1.399,5.34E+00
1.4,5.35E+00
1.401,5.36E+00
1.402,5.36E+00
1.403,5.37E+00
1.404,5.37E+00
1.405,5.38E+00
1.406,5.39E+00
1.407,5.39E+00
1.408,5.40E+00
1.409,5.40E+00
1.41,5.41E+00
1.411,5.42E+00
1.412,5.42E+00
1.413,5.43E+00
1.414,5.43E+00
1.415,5.44E+00
1.416,5.44E+00
1.417,5.45E+00
1.418,5.45E+00
1.419,5.46E+00
1.42,5.47E+00
1.421,5.47E+00
1.422,5.48E+00
1.423,5.48E+00
1.424,5.49E+00
1.425,5.49E+00
1.426,5.50E+00
1.427,5.50E+00
1.428,5.51E+00
1.429,5.51E+00
1.43,5.52E+00
1.431,5.52E+00
1.432,5.53E+00
1.433,5.54E+00
1.434,5.54E+00
1.435,5.55E+00
1.436,5.55E+00
1.437,5.56E+00
1.438,5.57E+00
1.439,5.57E+00
1.44,5.58E+00
1.441,5.58E+00
1.442,5.59E+00
1.443,5.59E+00
1.444,5.60E+00
1.445,5.60E+00
1.446,5.61E+00
1.447,5.62E+00
1.448,5.62E+00
1.449,5.63E+00
1.45,5.63E+00
1.451,5.64E+00
1.452,5.64E+00
1.453,5.65E+00
1.454,5.65E+00
1.455,5.66E+00
1.456,5.66E+00
1.457,5.67E+00
1.458,5.67E+00
1.459,5.68E+00
1.46,5.69E+00
1.461,5.69E+00
1.462,5.70E+00
1.463,5.70E+00
1.464,5.71E+00
1.465,5.72E+00
1.466,5.72E+00
1.467,5.73E+00
1.468,5.73E+00
1.469,5.74E+00
1.47,5.74E+00
1.471,5.75E+00
1.472,5.76E+00
1.473,5.76E+00
1.474,5.77E+00
1.475,5.77E+00
1.476,5.78E+00
1.477,5.78E+00
1.478,5.79E+00
1.479,5.79E+00
1.48,5.80E+00
1.481,5.80E+00
1.482,5.81E+00
1.483,5.81E+00
1.484,5.82E+00
1.485,5.82E+00
1.486,5.83E+00
1.487,5.83E+00
1.488,5.84E+00
1.489,5.85E+00
1.49,5.85E+00
1.491,5.86E+00
1.492,5.86E+00
1.493,5.87E+00
1.494,5.88E+00
1.495,5.88E+00
1.496,5.89E+00
1.497,5.89E+00
1.498,5.90E+00
1.499,5.91E+00
