#Point,X(min),Y(Counts)
368,0.123,7.71E-05
369,0.123,7.62E-05
370,0.124,7.54E-05
371,0.124,7.43E-05
372,0.124,7.34E-05
373,0.125,7.33E-05
374,0.125,7.48E-05
375,0.125,7.57E-05
376,0.126,7.57E-05
377,0.126,7.63E-05
378,0.126,7.82E-05
379,0.127,7.96E-05
380,0.127,7.73E-05
381,0.127,7.28E-05
382,0.128,6.94E-05
383,0.128,6.83E-05
384,0.128,6.84E-05
385,0.129,6.89E-05
386,0.129,6.99E-05
387,0.129,6.94E-05
388,0.13,6.87E-05
389,0.13,7.04E-05
390,0.13,7.76E-05
391,0.131,8.29E-05
392,0.131,8.52E-05
393,0.131,8.29E-05
394,0.132,7.90E-05
395,0.132,7.87E-05
396,0.132,8.05E-05
397,0.133,8.26E-05
398,0.133,8.08E-05
399,0.133,7.68E-05
400,0.134,7.47E-05
401,0.134,7.53E-05
402,0.134,7.66E-05
403,0.135,7.83E-05
404,0.135,7.77E-05
405,0.135,7.66E-05
406,0.136,7.58E-05
407,0.136,7.60E-05
408,0.136,7.54E-05
409,0.137,7.32E-05
410,0.137,7.05E-05
411,0.137,7.05E-05
412,0.138,7.08E-05
413,0.138,7.18E-05
414,0.138,7.26E-05
415,0.139,7.46E-05
416,0.139,7.71E-05
417,0.139,7.84E-05
418,0.14,7.96E-05
419,0.14,8.06E-05
420,0.14,7.94E-05
421,0.141,7.75E-05
422,0.141,7.48E-05
423,0.141,7.34E-05
424,0.142,7.36E-05
425,0.142,7.43E-05
426,0.142,7.58E-05
427,0.143,7.65E-05
428,0.143,7.55E-05
429,0.143,7.50E-05
430,0.144,7.55E-05
431,0.144,7.81E-05
432,0.144,8.29E-05
433,0.145,8.66E-05
434,0.145,8.66E-05
435,0.145,8.29E-05
436,0.146,7.94E-05
437,0.146,7.73E-05
438,0.146,7.68E-05
439,0.147,7.68E-05
440,0.147,7.83E-05
441,0.147,7.94E-05
442,0.148,7.96E-05
443,0.148,7.83E-05
444,0.148,7.46E-05
445,0.149,7.31E-05
446,0.149,7.23E-05
447,0.149,7.39E-05
448,0.15,7.51E-05
449,0.15,7.72E-05
450,0.15,8.06E-05
451,0.151,8.21E-05
452,0.151,7.74E-05
453,0.151,7.21E-05
454,0.152,7.04E-05
455,0.152,7.29E-05
456,0.152,7.43E-05
457,0.153,7.32E-05
458,0.153,7.21E-05
459,0.153,7.27E-05
460,0.154,7.29E-05
461,0.154,7.28E-05
462,0.154,7.23E-05
463,0.155,7.23E-05
464,0.155,7.41E-05
465,0.155,7.60E-05
466,0.156,7.59E-05
467,0.156,7.43E-05
468,0.156,7.19E-05
469,0.157,6.99E-05
470,0.157,6.96E-05
471,0.157,7.07E-05
472,0.158,7.19E-05
473,0.158,7.32E-05
474,0.158,7.25E-05
475,0.159,7.30E-05
476,0.159,7.30E-05
477,0.159,7.37E-05
478,0.16,7.48E-05
479,0.16,7.59E-05
480,0.16,7.69E-05
481,0.161,7.66E-05
482,0.161,7.48E-05
483,0.161,7.41E-05
484,0.162,7.38E-05
485,0.162,7.44E-05
486,0.162,7.25E-05
487,0.163,7.17E-05
488,0.163,7.13E-05
489,0.163,7.24E-05
490,0.164,7.21E-05
491,0.164,7.10E-05
492,0.164,6.95E-05
493,0.165,6.99E-05
494,0.165,7.18E-05
495,0.165,7.30E-05
496,0.166,7.36E-05
497,0.166,7.30E-05
498,0.166,7.18E-05
499,0.167,7.09E-05
500,0.167,7.15E-05
501,0.167,7.41E-05
502,0.168,7.62E-05
503,0.168,7.66E-05
504,0.168,7.67E-05
505,0.169,7.66E-05
506,0.169,7.96E-05
507,0.169,8.31E-05
508,0.17,8.50E-05
509,0.17,8.31E-05
510,0.17,7.85E-05
511,0.171,7.51E-05
512,0.171,7.33E-05
513,0.171,7.49E-05
514,0.172,7.70E-05
515,0.172,7.98E-05
516,0.172,8.05E-05
517,0.173,7.94E-05
518,0.173,7.62E-05
519,0.173,7.31E-05
520,0.174,7.12E-05
521,0.174,7.08E-05
522,0.174,7.25E-05
523,0.175,7.50E-05
524,0.175,7.78E-05
525,0.175,7.91E-05
526,0.176,7.84E-05
527,0.176,7.64E-05
528,0.176,7.23E-05
529,0.177,6.94E-05
530,0.177,6.88E-05
531,0.177,7.11E-05
532,0.178,7.47E-05
533,0.178,7.53E-05
534,0.178,7.43E-05
535,0.179,7.24E-05
536,0.179,7.04E-05
537,0.179,6.76E-05
538,0.18,6.67E-05
539,0.18,6.65E-05
540,0.18,6.74E-05
541,0.181,6.83E-05
542,0.181,6.91E-05
543,0.181,7.07E-05
544,0.182,6.98E-05
545,0.182,7.00E-05
546,0.182,6.85E-05
547,0.183,6.61E-05
548,0.183,6.50E-05
549,0.183,6.54E-05
550,0.184,6.63E-05
551,0.184,6.64E-05
552,0.184,6.46E-05
553,0.185,6.44E-05
554,0.185,6.44E-05
555,0.185,6.54E-05
556,0.186,6.50E-05
557,0.186,6.44E-05
558,0.186,6.48E-05
559,0.187,6.60E-05
560,0.187,6.81E-05
561,0.187,6.97E-05
562,0.188,7.05E-05
563,0.188,6.97E-05
564,0.188,6.90E-05
565,0.189,7.05E-05
566,0.189,7.21E-05
567,0.189,7.15E-05
568,0.19,6.93E-05
569,0.19,6.69E-05
570,0.19,6.59E-05
571,0.191,6.58E-05
572,0.191,6.59E-05
573,0.191,6.55E-05
574,0.192,6.50E-05
575,0.192,6.38E-05
576,0.192,6.39E-05
577,0.193,6.49E-05
578,0.193,6.76E-05
579,0.193,7.22E-05
580,0.194,7.50E-05
581,0.194,7.58E-05
582,0.194,7.37E-05
583,0.195,7.02E-05
584,0.195,6.82E-05
585,0.195,6.71E-05
586,0.196,6.83E-05
587,0.196,7.08E-05
588,0.196,7.27E-05
589,0.197,7.49E-05
590,0.197,7.44E-05
591,0.197,7.28E-05
592,0.198,7.17E-05
593,0.198,7.12E-05
594,0.198,7.02E-05
595,0.199,7.03E-05
596,0.199,7.12E-05
597,0.199,7.24E-05
598,0.2,7.07E-05
599,0.2,7.02E-05
600,0.2,7.06E-05
601,0.201,7.13E-05
602,0.201,6.97E-05
603,0.201,6.89E-05
604,0.202,6.95E-05
605,0.202,7.15E-05
606,0.202,7.22E-05
607,0.203,7.09E-05
608,0.203,6.85E-05
609,0.203,6.65E-05
610,0.204,6.52E-05
611,0.204,6.53E-05
612,0.204,6.69E-05
613,0.205,6.93E-05
614,0.205,7.02E-05
615,0.205,6.92E-05
616,0.206,6.75E-05
617,0.206,6.62E-05
618,0.206,6.68E-05
619,0.207,6.78E-05
620,0.207,6.92E-05
621,0.207,7.02E-05
622,0.208,7.13E-05
623,0.208,7.07E-05
624,0.208,6.80E-05
625,0.209,6.60E-05
626,0.209,6.56E-05
627,0.209,6.74E-05
628,0.21,6.91E-05
629,0.21,7.04E-05
630,0.21,7.07E-05
631,0.211,6.86E-05
632,0.211,6.59E-05
633,0.211,6.52E-05
634,0.212,6.86E-05
635,0.212,7.19E-05
636,0.212,6.98E-05
637,0.213,6.51E-05
638,0.213,6.21E-05
639,0.213,6.33E-05
640,0.214,6.52E-05
641,0.214,6.66E-05
642,0.214,6.76E-05
643,0.215,6.64E-05
644,0.215,6.62E-05
645,0.215,6.62E-05
646,0.216,6.76E-05
647,0.216,6.89E-05
648,0.216,6.83E-05
649,0.217,6.71E-05
650,0.217,6.44E-05
651,0.217,6.28E-05
652,0.218,6.36E-05
653,0.218,6.55E-05
654,0.218,6.79E-05
655,0.219,6.84E-05
656,0.219,6.82E-05
657,0.219,6.64E-05
658,0.22,6.44E-05
659,0.22,6.12E-05
660,0.22,5.70E-05
661,0.221,5.53E-05
662,0.221,5.65E-05
663,0.221,5.99E-05
664,0.222,6.03E-05
665,0.222,6.18E-05
666,0.222,6.32E-05
667,0.223,6.47E-05
668,0.223,6.44E-05
669,0.223,6.52E-05
670,0.224,6.69E-05
671,0.224,6.78E-05
672,0.224,6.71E-05
673,0.225,6.51E-05
674,0.225,6.21E-05
675,0.225,6.03E-05
676,0.226,6.00E-05
677,0.226,6.16E-05
678,0.226,6.38E-05
679,0.227,6.45E-05
680,0.227,6.52E-05
681,0.227,6.48E-05
682,0.228,6.45E-05
683,0.228,6.30E-05
684,0.228,6.26E-05
685,0.229,6.43E-05
686,0.229,6.41E-05
687,0.229,6.32E-05
688,0.23,6.28E-05
689,0.23,6.46E-05
690,0.23,6.63E-05
691,0.231,6.75E-05
692,0.231,6.82E-05
693,0.231,6.75E-05
694,0.232,6.54E-05
695,0.232,6.26E-05
696,0.232,6.02E-05
697,0.233,5.83E-05
698,0.233,5.90E-05
699,0.233,6.22E-05
700,0.234,6.43E-05
701,0.234,6.39E-05
702,0.234,6.14E-05
703,0.235,5.97E-05
704,0.235,5.97E-05
705,0.235,6.17E-05
706,0.236,6.09E-05
707,0.236,6.11E-05
708,0.236,6.05E-05
709,0.237,6.28E-05
710,0.237,6.29E-05
711,0.237,6.19E-05
712,0.238,5.91E-05
713,0.238,5.70E-05
714,0.238,5.50E-05
715,0.239,5.40E-05
716,0.239,5.34E-05
717,0.239,5.46E-05
718,0.24,5.47E-05
719,0.24,5.50E-05
720,0.24,5.55E-05
721,0.241,5.70E-05
722,0.241,5.81E-05
723,0.241,5.77E-05
724,0.242,5.83E-05
725,0.242,5.80E-05
726,0.242,5.90E-05
727,0.243,6.00E-05
728,0.243,6.19E-05
729,0.243,6.31E-05
730,0.244,6.22E-05
731,0.244,6.01E-05
732,0.244,5.69E-05
733,0.245,5.54E-05
734,0.245,5.60E-05
735,0.245,5.61E-05
736,0.246,5.45E-05
737,0.246,5.27E-05
738,0.246,5.20E-05
739,0.247,5.23E-05
740,0.247,5.09E-05
741,0.247,4.92E-05
742,0.248,4.70E-05
743,0.248,4.64E-05
744,0.248,4.75E-05
745,0.249,4.98E-05
746,0.249,5.32E-05
747,0.249,5.60E-05
748,0.25,5.97E-05
749,0.25,6.09E-05
750,0.25,6.16E-05
751,0.251,6.21E-05
752,0.251,6.27E-05
753,0.251,6.25E-05
754,0.252,6.07E-05
755,0.252,5.89E-05
756,0.252,5.78E-05
757,0.253,5.69E-05
758,0.253,5.65E-05
759,0.253,5.63E-05
760,0.254,5.71E-05
761,0.254,5.73E-05
762,0.254,5.60E-05
763,0.255,5.54E-05
764,0.255,5.83E-05
765,0.255,6.43E-05
766,0.256,6.88E-05
767,0.256,6.89E-05
768,0.256,6.66E-05
769,0.257,6.70E-05
770,0.257,6.57E-05
771,0.257,6.33E-05
772,0.258,5.97E-05
773,0.258,6.00E-05
774,0.258,6.30E-05
775,0.259,6.56E-05
776,0.259,6.57E-05
777,0.259,6.25E-05
778,0.26,5.99E-05
779,0.26,6.11E-05
780,0.26,6.59E-05
781,0.261,6.77E-05
782,0.261,6.68E-05
783,0.261,6.24E-05
784,0.262,5.83E-05
785,0.262,5.41E-05
786,0.262,5.25E-05
787,0.263,5.47E-05
788,0.263,5.79E-05
789,0.263,6.07E-05
790,0.264,6.16E-05
791,0.264,6.08E-05
792,0.264,5.88E-05
793,0.265,5.65E-05
794,0.265,5.70E-05
795,0.265,5.79E-05
796,0.266,5.80E-05
797,0.266,5.74E-05
798,0.266,5.69E-05
799,0.267,5.72E-05
800,0.267,5.57E-05
801,0.267,5.64E-05
802,0.268,5.78E-05
803,0.268,6.03E-05
804,0.268,6.10E-05
805,0.269,6.14E-05
806,0.269,6.29E-05
807,0.269,6.40E-05
808,0.27,6.22E-05
809,0.27,5.67E-05
810,0.27,5.16E-05
811,0.271,5.15E-05
812,0.271,5.37E-05
813,0.271,5.79E-05
814,0.272,5.86E-05
815,0.272,5.90E-05
816,0.272,5.77E-05
817,0.273,5.67E-05
818,0.273,5.60E-05
819,0.273,5.45E-05
820,0.274,5.38E-05
821,0.274,5.43E-05
822,0.274,5.68E-05
823,0.275,5.95E-05
824,0.275,6.17E-05
825,0.275,6.13E-05
826,0.276,5.56E-05
827,0.276,5.06E-05
828,0.276,4.83E-05
829,0.277,5.21E-05
830,0.277,5.51E-05
831,0.277,5.65E-05
832,0.278,5.68E-05
833,0.278,5.78E-05
834,0.278,5.89E-05
835,0.279,5.99E-05
