#Point,X(min),Y(Counts)
358,0.12,6.73E-05
359,0.12,6.86E-05
360,0.12,6.89E-05
361,0.121,6.96E-05
362,0.121,6.98E-05
363,0.121,7.01E-05
364,0.122,7.03E-05
365,0.122,7.08E-05
366,0.122,7.22E-05
367,0.123,7.42E-05
368,0.123,7.60E-05
369,0.123,7.71E-05
370,0.124,7.72E-05
371,0.124,7.58E-05
372,0.124,7.47E-05
373,0.125,7.45E-05
374,0.125,7.54E-05
375,0.125,7.42E-05
376,0.126,7.10E-05
377,0.126,6.70E-05
378,0.126,6.63E-05
379,0.127,6.74E-05
380,0.127,6.94E-05
381,0.127,7.05E-05
382,0.128,7.09E-05
383,0.128,6.98E-05
384,0.128,6.93E-05
385,0.129,6.91E-05
386,0.129,7.06E-05
387,0.129,7.09E-05
388,0.13,7.11E-05
389,0.13,7.07E-05
390,0.13,7.02E-05
391,0.131,7.03E-05
392,0.131,7.08E-05
393,0.131,7.21E-05
394,0.132,7.48E-05
395,0.132,7.80E-05
396,0.132,7.96E-05
397,0.133,7.88E-05
398,0.133,7.52E-05
399,0.133,7.43E-05
400,0.134,7.47E-05
401,0.134,7.60E-05
402,0.134,7.47E-05
403,0.135,7.39E-05
404,0.135,7.39E-05
405,0.135,7.39E-05
406,0.136,7.17E-05
407,0.136,6.88E-05
408,0.136,6.76E-05
409,0.137,6.80E-05
410,0.137,6.97E-05
411,0.137,7.17E-05
412,0.138,7.22E-05
413,0.138,7.21E-05
414,0.138,7.12E-05
415,0.139,7.13E-05
416,0.139,6.92E-05
417,0.139,6.82E-05
418,0.14,6.71E-05
419,0.14,6.76E-05
420,0.14,6.79E-05
421,0.141,6.85E-05
422,0.141,7.08E-05
423,0.141,7.27E-05
424,0.142,7.21E-05
425,0.142,6.97E-05
426,0.142,6.70E-05
427,0.143,6.69E-05
428,0.143,6.79E-05
429,0.143,6.71E-05
430,0.144,6.41E-05
431,0.144,6.17E-05
432,0.144,6.40E-05
433,0.145,6.77E-05
434,0.145,7.02E-05
435,0.145,6.97E-05
436,0.146,7.00E-05
437,0.146,7.00E-05
438,0.146,6.94E-05
439,0.147,6.82E-05
440,0.147,6.80E-05
441,0.147,6.91E-05
442,0.148,6.97E-05
443,0.148,7.07E-05
444,0.148,7.17E-05
445,0.149,7.19E-05
446,0.149,7.16E-05
447,0.149,7.16E-05
448,0.15,7.22E-05
449,0.15,7.23E-05
450,0.15,7.23E-05
451,0.151,7.17E-05
452,0.151,6.93E-05
453,0.151,6.58E-05
454,0.152,6.53E-05
455,0.152,6.76E-05
456,0.152,6.76E-05
457,0.153,6.57E-05
458,0.153,6.30E-05
459,0.153,6.20E-05
460,0.154,6.22E-05
461,0.154,6.34E-05
462,0.154,6.52E-05
463,0.155,6.65E-05
464,0.155,6.65E-05
465,0.155,6.75E-05
466,0.156,6.89E-05
467,0.156,6.96E-05
468,0.156,7.10E-05
469,0.157,7.21E-05
470,0.157,7.25E-05
471,0.157,7.09E-05
472,0.158,7.08E-05
473,0.158,7.09E-05
474,0.158,7.20E-05
475,0.159,7.15E-05
476,0.159,7.37E-05
477,0.159,7.45E-05
478,0.16,7.31E-05
479,0.16,7.04E-05
480,0.16,6.98E-05
481,0.161,7.08E-05
482,0.161,7.17E-05
483,0.161,7.07E-05
484,0.162,6.91E-05
485,0.162,6.81E-05
486,0.162,6.74E-05
487,0.163,6.67E-05
488,0.163,6.67E-05
489,0.163,6.79E-05
490,0.164,7.00E-05
491,0.164,7.17E-05
492,0.164,7.25E-05
493,0.165,7.23E-05
494,0.165,7.12E-05
495,0.165,7.07E-05
496,0.166,6.81E-05
497,0.166,6.67E-05
498,0.166,6.52E-05
499,0.167,6.52E-05
500,0.167,6.43E-05
501,0.167,6.41E-05
502,0.168,6.66E-05
503,0.168,6.92E-05
504,0.168,6.98E-05
505,0.169,6.92E-05
506,0.169,6.91E-05
507,0.169,7.04E-05
508,0.17,7.06E-05
509,0.17,6.91E-05
510,0.17,6.57E-05
511,0.171,6.34E-05
512,0.171,6.29E-05
513,0.171,6.39E-05
514,0.172,6.42E-05
515,0.172,6.45E-05
516,0.172,6.61E-05
517,0.173,6.90E-05
518,0.173,7.31E-05
519,0.173,7.51E-05
520,0.174,7.44E-05
521,0.174,7.12E-05
522,0.174,6.89E-05
523,0.175,6.94E-05
524,0.175,7.06E-05
525,0.175,7.12E-05
526,0.176,6.87E-05
527,0.176,6.53E-05
528,0.176,6.35E-05
529,0.177,6.25E-05
530,0.177,6.30E-05
531,0.177,6.45E-05
532,0.178,6.67E-05
533,0.178,6.76E-05
534,0.178,6.61E-05
535,0.179,6.55E-05
536,0.179,6.49E-05
537,0.179,6.42E-05
538,0.18,6.33E-05
539,0.18,6.28E-05
540,0.18,6.55E-05
541,0.181,6.74E-05
542,0.181,6.89E-05
543,0.181,6.80E-05
544,0.182,6.84E-05
545,0.182,6.82E-05
546,0.182,6.97E-05
547,0.183,7.02E-05
548,0.183,6.83E-05
549,0.183,6.48E-05
550,0.184,6.31E-05
551,0.184,6.50E-05
552,0.184,6.72E-05
553,0.185,6.72E-05
554,0.185,6.66E-05
555,0.185,6.67E-05
556,0.186,6.75E-05
557,0.186,6.92E-05
558,0.186,7.05E-05
559,0.187,7.07E-05
560,0.187,6.97E-05
561,0.187,6.81E-05
562,0.188,6.75E-05
563,0.188,6.87E-05
564,0.188,6.90E-05
565,0.189,6.96E-05
566,0.189,6.92E-05
567,0.189,6.74E-05
568,0.19,6.60E-05
569,0.19,6.48E-05
570,0.19,6.65E-05
571,0.191,6.76E-05
572,0.191,6.87E-05
573,0.191,6.81E-05
574,0.192,6.84E-05
575,0.192,7.00E-05
576,0.192,7.05E-05
577,0.193,6.96E-05
578,0.193,6.70E-05
579,0.193,6.61E-05
580,0.194,6.73E-05
581,0.194,6.98E-05
582,0.194,7.07E-05
583,0.195,7.00E-05
584,0.195,6.85E-05
585,0.195,6.89E-05
586,0.196,6.92E-05
587,0.196,6.80E-05
588,0.196,6.58E-05
589,0.197,6.24E-05
590,0.197,6.16E-05
591,0.197,6.47E-05
592,0.198,6.95E-05
593,0.198,7.25E-05
594,0.198,7.14E-05
595,0.199,6.93E-05
596,0.199,6.81E-05
597,0.199,6.65E-05
598,0.2,6.54E-05
599,0.2,6.42E-05
600,0.2,6.47E-05
601,0.201,6.57E-05
602,0.201,6.48E-05
603,0.201,6.30E-05
604,0.202,6.21E-05
605,0.202,6.40E-05
606,0.202,6.68E-05
607,0.203,6.59E-05
608,0.203,6.18E-05
609,0.203,5.68E-05
610,0.204,5.57E-05
611,0.204,5.79E-05
612,0.204,6.09E-05
613,0.205,6.24E-05
614,0.205,6.20E-05
615,0.205,6.11E-05
616,0.206,6.14E-05
617,0.206,6.23E-05
618,0.206,6.33E-05
619,0.207,6.42E-05
620,0.207,6.44E-05
621,0.207,6.44E-05
622,0.208,6.58E-05
623,0.208,6.86E-05
624,0.208,7.10E-05
625,0.209,6.94E-05
626,0.209,6.56E-05
627,0.209,6.35E-05
628,0.21,6.45E-05
629,0.21,6.65E-05
630,0.21,6.68E-05
631,0.211,6.50E-05
632,0.211,6.33E-05
633,0.211,6.48E-05
634,0.212,6.72E-05
635,0.212,6.82E-05
636,0.212,6.50E-05
637,0.213,6.22E-05
638,0.213,6.12E-05
639,0.213,6.36E-05
