2.941-2.962 min,,
#Point,X(Thompsons),Y(Counts)
17,46,606.3666382
18,47,1060.949219
19,48,1075.803711
20,49.1,3044.179443
21,50.1,29874.74805
22,51.1,70990.39844
23,52.1,18693.54102
24,53,7119.285156
25,54.1,3240.609375
26,55,6168.381348
27,56,100.9304428
28,56.1,585.62677
29,57.5,2805.697998
30,58.9,76.44271088
31,59,47.41267014
32,60,652.7549438
33,61,9073.915039
34,62,24742.57813
35,63,54492.34766
36,64.1,7351.446777
37,65.1,21924.48242
38,66.9,253.5814819
39,68,107.2309265
40,68.9,16.45980072
41,69.1,99.67940521
42,70,143.5584106
43,71,42.33768082
44,71.1,14.67886353
45,71.9,29.51824379
46,72,222.8137207
47,73,4637.575684
48,74,33779.28516
49,75,38088.38672
50,76.1,33035.75
51,77.1,174391.6719
52,78.1,123352.375
53,79.1,9443.717773
54,80,582.0291138
55,81,168.4578705
56,81.9,57.17884827
57,82.1,11.38881207
58,83.1,16.05633926
59,83.9,48.76460266
60,84,776.7611694
61,85,4463.013184
62,86,11511.76465
63,87,15408.28906
64,88,13020.20605
65,89.1,36596.59766
66,90,3635.811768
67,91.1,8985.395508
68,92,1156.585693
69,93,71.56881714
70,94,146.6068268
71,95,10.86211872
72,96,174.3773041
73,97,1336.61084
74,98,6950.483887
75,99,2682.14917
76,100,1091.810547
77,101,14221.36328
78,102.1,76460.03906
79,103.1,269198.5313
80,104.1,128105
81,105.1,20201.00977
82,106,1321.940796
83,107,108.5802002
84,107.9,6.696735382
85,108,221.4029999
86,109,1261.563232
87,110,2224.536865
88,110.9,25.37444496
89,111,1039.804565
90,111.9,66.76559448
91,112.1,92.09860992
92,113,16000.80469
93,114.1,13284.67285
94,115.1,112983.5703
95,116.1,13282.85254
96,117,865.7160034
97,117.9,4.88416338
98,118,73.95007324
99,118.9,61.72937012
100,119,44.34474182
101,119.8,10.64549637
102,120,4.30064106
103,120.8,11.17411518
104,121,17.16744423
105,121.8,4.590301037
106,124.8,6.271558285
107,125,56.10816574
108,125.9,34.10835648
109,126,134.2613678
110,126.2,7.886180878
111,126.9,39.78322983
112,127.1,129.7358551
113,128,37.51000595
114,128.1,234.577713
115,129,20024.51758
116,130.1,7390.888672
117,131.1,516124.8438
118,132.1,320529.1563
119,133.1,31293.24219
120,134.1,2041.588867
121,135,184.5765381
122,136,12.32108021
123,136.9,12.63808346
124,137.1,18.28798103
125,139,16.33784294
126,141.1,25.60391045
127,141.2,4.45599699
128,142.1,178.6394043
129,143,15.25492954
130,143.9,30.06142426
131,144.9,12.63296986
132,145,349.7397461
133,145.9,9.70956707
134,146,219.9592285
135,146.8,16.15016747
136,146.9,78.86748505
137,148.9,30.65142822
138,149,17.76315498
139,149.8,10.52082443
140,150,35.12094498
141,150.9,11.17951488
142,151,17.1428051
143,151.1,10.867939
144,152,49.58691406
145,152.9,21.9865284
146,153.1,12.42935944
147,154,72.26126099
148,154.9,17.595644
149,155,12.60108471
150,156,146.8857269
151,156.8,6.811209202
152,157,26.93629456
153,157.9,12.75870419
154,158,39.06843185
155,158.7,6.027501583
156,158.9,28.10292244
157,159.1,8.379505157
158,160,23.54823112
159,162.9,48.36445236
160,164.9,33.06194687
161,165,102.8746262
162,165.7,10.35698032
163,166,14.67133331
164,169,4.255516052
165,176,9.873849869
166,176.9,64.54701233
167,177.9,27.54232788
168,178,67.70137787
169,178.9,58.71718216
170,179.1,5.430654526
171,181,9.266448021
172,189,16.34004021
173,190.1,17.50760841
174,190.9,35.80385971
175,191,82.84498596
176,191.9,25.6382618
177,192.9,230.2535858
178,193.9,33.31658173
179,194.9,84.27019501
180,195,14.11801434
181,196.1,4.341034889
182,201.9,7.026872635
183,202,32.28192902
184,203,67.22426605
185,204,9.439780235
186,205,23.28326416
187,207,511.9458313
188,207.9,101.6680298
189,208.1,15.65697861
190,209,144.7530365
191,209.1,12.17928028
192,209.9,17.7808094
193,210.8,4.425337791
194,214.9,7.186759949
195,215,13.15250301
196,217,96.35845184
197,217.2,18.29016876
198,218,26.04232597
199,218.1,26.61234856
200,231,73.22021484
201,232.1,10.53513813
202,232.9,16.65284157
203,233.1,21.46351433
204,238.9,7.45125246
205,239,9.865502357
206,245,42.44659042
207,248.8,16.79684067
208,250.8,18.0937748
209,253,745.3884277
210,253.9,91.95929718
211,254,107.0307083
212,254.9,13.49571991
213,255,80.29859161
214,266.9,116.5513
215,267,4.499882698
216,267.9,45.40668106
217,269,63.8798027
218,281,77.95316315
219,281.9,12.63213825
220,282.9,17.18166161
221,314.9,10.02956104
222,326.8,43.74824524
223,327,85.86701202
224,327.9,29.41213799
225,329,15.73550415
226,331,165.7000885
227,332,43.04632187
228,333,13.29499912
229,340.9,15.35620594
230,342.9,5.51892662
231,343,10.85476398
232,346,60.25259018
233,346.1,33.31420135
234,347,20.45448494
235,404.9,5.632194996
236,405,45.20647049
