#Point,X(min),Y(Counts)
485,0.162,5.02928788386131E-05
486,0.162,5.22143297330153E-05
487,0.163,5.22367450918041E-05
488,0.163,5.13959616389914E-05
489,0.163,4.89640274789656E-05
490,0.164,4.83653929213376E-05
491,0.164,4.86200416580124E-05
492,0.164,5.03488083992168E-05
493,0.165,5.13203108051137E-05
494,0.165,5.07040022078828E-05
495,0.165,4.9397351000834E-05
496,0.166,4.76706314933007E-05
497,0.166,4.76887359452839E-05
498,0.166,4.73615608726264E-05
499,0.167,4.69279148497912E-05
500,0.167,4.53241551564013E-05
501,0.167,4.41313036260909E-05
502,0.168,4.47538624523853E-05
503,0.168,4.5963847848595E-05
504,0.168,4.69462338913278E-05
505,0.169,4.55337573526717E-05
506,0.169,4.48721876254828E-05
507,0.169,4.48080672802847E-05
508,0.170,4.62479163197424E-05
509,0.170,4.82030984720596E-05
510,0.170,5.03212206922251E-05
511,0.171,5.12650274797171E-05
512,0.171,5.1150580951135E-05
513,0.171,5.11946569054556E-05
514,0.172,5.11527360962195E-05
515,0.172,4.97118091759013E-05
516,0.172,4.7057124892998E-05
517,0.173,4.66492345496734E-05
518,0.173,5.03869572420775E-05
519,0.173,5.4303786673647E-05
520,0.174,5.67113658443079E-05
521,0.174,5.49301171579984E-05
522,0.174,5.26822453375591E-05
523,0.175,5.08805212313552E-05
524,0.175,5.12135155040591E-05
525,0.175,5.33333621486106E-05
526,0.176,5.41812575802022E-05
527,0.176,5.42475330704848E-05
528,0.176,5.28932497655669E-05
529,0.177,5.36532088030258E-05
530,0.177,5.48673978112644E-05
531,0.177,5.55770308194985E-05
532,0.178,5.41661706396557E-05
533,0.178,5.28890467701746E-05
534,0.178,5.31910044871151E-05
535,0.179,5.44112282099086E-05
536,0.179,5.47970272370029E-05
537,0.179,5.43156405882484E-05
538,0.180,5.50897172134433E-05
539,0.180,5.52752884629073E-05
540,0.180,5.5117304920435E-05
541,0.181,5.34807848635323E-05
542,0.181,5.17148386322777E-05
543,0.181,5.07232924521399E-05
544,0.182,4.93977820298509E-05
545,0.182,4.96761392123652E-05
546,0.182,5.03065644723772E-05
547,0.183,5.09991707553295E-05
548,0.183,4.75995061557822E-05
549,0.183,4.41616927133741E-05
550,0.184,4.22505877486508E-05
551,0.184,4.40543584718892E-05
552,0.184,4.5889598629818E-05
553,0.185,4.674137363088E-05
554,0.185,4.81395170672917E-05
555,0.185,4.80443607829668E-05
556,0.186,4.72897892999008E-05
557,0.186,4.63810062407379E-05
558,0.186,4.75823722898828E-05
559,0.187,5.04076484847987E-05
560,0.187,5.26134915845885E-05
561,0.187,5.43263093272126E-05
562,0.188,5.44903278925582E-05
563,0.188,5.32258127009356E-05
564,0.188,5.10227712897557E-05
565,0.189,4.9554149367669E-05
566,0.189,4.82573045332323E-05
567,0.189,4.64357512423409E-05
568,0.190,4.52573401090517E-05
569,0.190,4.6608606827488E-05
570,0.190,4.79309915186086E-05
571,0.191,4.81651654520256E-05
572,0.191,4.57157724585871E-05
573,0.191,4.38504675642519E-05
574,0.192,4.27919984253512E-05
575,0.192,4.28797199216121E-05
576,0.192,4.3112492856565E-05
577,0.193,4.2694579701165E-05
578,0.193,4.32552812387591E-05
579,0.193,4.46703439515167E-05
580,0.194,4.60298008379107E-05
581,0.194,4.68025834510999E-05
582,0.194,4.58952013904011E-05
583,0.195,4.53340694404267E-05
584,0.195,4.45632255328586E-05
585,0.195,4.48941719552547E-05
586,0.196,4.50074333081995E-05
587,0.196,4.56752532644517E-05
588,0.196,4.55666265525528E-05
589,0.197,4.6066009741877E-05
590,0.197,4.69749000958167E-05
591,0.197,5.03452522556682E-05
592,0.198,5.30028467552314E-05
593,0.198,5.41214481418098E-05
594,0.198,5.22435342612978E-05
595,0.199,4.99620397109936E-05
596,0.199,4.9771511319517E-05
597,0.199,5.06964588917687E-05
598,0.200,5.28937883976789E-05
599,0.200,5.38327453379348E-05
600,0.200,5.37247648612429E-05
601,0.201,5.1511917077451E-05
602,0.201,5.01128030549554E-05
603,0.201,5.10359185997261E-05
604,0.202,5.34030861793468E-05
605,0.202,5.45413006194675E-05
606,0.202,5.22767259621458E-05
607,0.203,4.99575135979979E-05
608,0.203,4.91255671649866E-05
609,0.203,5.06815874657306E-05
610,0.204,5.18727142633367E-05
611,0.204,5.17482455393158E-05
612,0.204,5.15909088486872E-05
613,0.205,5.21768277419983E-05
614,0.205,5.16322907174929E-05
615,0.205,4.91999255284502E-05
