3.254-3.303 min,,
#Point,X(Thompsons),Y(Counts)
84,96.8,13.04005814
85,97,98.38627625
86,97.9,18.30639648
87,98,369.4440613
88,98.9,8.916420937
89,99,186.3256989
90,99.9,9.577179909
91,100,75.31079102
92,101,1338.898438
93,102.1,10364.78418
94,103.1,58139.36328
95,104.1,1059477.375
96,105.1,137147.0781
97,106.1,14186.24023
98,107.1,6462.806641
99,108,848.1353149
100,109,250.9067383
101,109.9,68.71535492
102,110.1,20.90011406
103,110.8,7.767709732
104,111,72.66194153
105,112.1,12.92258549
106,113,600.418396
107,114.1,562.9745483
108,115.1,77201.89844
109,116.1,23774.97656
110,117.1,310358.3438
111,118.1,33162.91797
112,119.1,3324.75415
113,120.1,897.0247803
114,120.9,17.72824287
115,121.1,980.2958374
116,121.9,38.08515549
117,122.1,822.335144
118,123,42.11593628
119,123,71.2175827
120,125,169.7295837
121,126,817.7514038
122,127.1,3471.940674
123,128.1,8237.795898
124,129.1,11164.27344
125,130.1,4896.88623
126,131.1,49915.66016
127,132.1,184223.6719
128,133.1,21206.40039
129,134.1,1330.578857
130,135.1,1264.757446
131,136,134.1725464
132,136.9,17.85162926
133,138.9,106.8344498
134,140.9,54.80653381
135,141,38.6943512
136,141.9,19.54660034
137,142,165.157547
138,142.1,9.086299896
139,143,29.34884644
140,143.1,5.786055088
141,144,73.40387726
142,144.1,91.88445282
143,145,501.773407
144,146,591.8115845
145,147,606.7145996
146,148.1,3396.192383
147,149,66.81594849
148,149.1,263.403595
149,150.1,275065.75
150,151.1,31025.42383
151,152.1,2161.070313
152,153,161.4342041
153,153.9,41.24876404
154,154,41.90067291
155,154.9,32.99922562
156,155,49.05644608
157,155.9,55.20344162
158,156,78.79486847
159,157,20.36638069
160,158,17.57029343
161,158.1,16.41691971
162,160.9,6.120355606
163,162.8,14.3650322
164,163,30.48543549
165,164.9,66.86506653
166,165.1,11.27761173
167,166.9,28.55509758
168,167,27.12507248
169,176.9,67.51187897
170,177.1,28.73583794
171,178,23.64036751
172,178.9,17.32084846
173,179,14.40219116
174,180.8,16.43387032
175,181,38.28983307
176,190.8,8.104664803
177,190.9,179.1978912
178,192,24.1094799
179,192.8,22.6462574
180,192.9,161.2424469
181,194.9,11.08486748
182,195,48.90630722
183,207,1216.570557
184,207.9,13.75507164
185,208,271.266571
186,208.9,189.6683197
187,248.9,40.09963608
188,250.8,4.908324718
189,251,4.654473305
190,252.8,11.7457056
191,253,443.2110596
192,253.9,113.7484665
193,254.8,6.771041393
194,254.9,50.26104355
195,264.9,11.2799654
196,265,5.021441936
197,267,120.2512283
198,267.9,41.98687363
199,268.9,55.07061386
200,269.1,10.41351318
201,280.9,20.71655273
202,281,285.5922852
203,281.9,22.23114967
204,282,66.34384155
205,282.8,5.893013
206,283,50.69089127
207,315,9.676688194
208,326.8,6.281285286
209,327,123.7779236
210,327.9,17.90104866
