#Point,X(min),Y(Counts)
322,0.108,6.12E-05
323,0.108,6.07E-05
324,0.108,5.87E-05
325,0.109,5.80E-05
326,0.109,5.95E-05
327,0.109,6.29E-05
328,0.11,6.49E-05
329,0.11,6.53E-05
330,0.11,6.59E-05
331,0.111,6.49E-05
332,0.111,6.28E-05
333,0.111,6.15E-05
334,0.112,6.20E-05
335,0.112,6.39E-05
336,0.112,6.65E-05
337,0.113,6.82E-05
338,0.113,6.76E-05
339,0.113,6.45E-05
340,0.114,6.30E-05
341,0.114,6.17E-05
342,0.114,6.29E-05
343,0.115,6.22E-05
344,0.115,6.26E-05
345,0.115,6.16E-05
346,0.116,6.04E-05
347,0.116,5.90E-05
348,0.116,5.66E-05
349,0.117,5.52E-05
350,0.117,5.52E-05
351,0.117,5.59E-05
352,0.118,5.77E-05
353,0.118,5.97E-05
354,0.118,6.08E-05
355,0.119,6.08E-05
356,0.119,6.02E-05
357,0.119,5.86E-05
358,0.12,5.68E-05
359,0.12,5.50E-05
360,0.12,5.42E-05
361,0.121,5.57E-05
362,0.121,5.72E-05
363,0.121,6.00E-05
364,0.122,6.07E-05
365,0.122,5.98E-05
366,0.122,5.71E-05
367,0.123,5.57E-05
368,0.123,5.68E-05
369,0.123,5.98E-05
370,0.124,6.06E-05
371,0.124,6.01E-05
372,0.124,5.92E-05
373,0.125,5.89E-05
374,0.125,5.92E-05
375,0.125,5.99E-05
376,0.126,6.20E-05
377,0.126,6.23E-05
378,0.126,6.29E-05
379,0.127,6.19E-05
380,0.127,6.08E-05
381,0.127,5.96E-05
382,0.128,6.02E-05
383,0.128,6.18E-05
384,0.128,6.49E-05
385,0.129,6.56E-05
386,0.129,6.53E-05
387,0.129,6.20E-05
388,0.13,5.80E-05
389,0.13,5.68E-05
390,0.13,5.63E-05
391,0.131,5.97E-05
392,0.131,5.97E-05
393,0.131,6.01E-05
394,0.132,5.86E-05
395,0.132,6.04E-05
396,0.132,6.33E-05
397,0.133,6.53E-05
398,0.133,6.26E-05
399,0.133,5.82E-05
400,0.134,5.45E-05
401,0.134,5.69E-05
402,0.134,6.00E-05
403,0.135,6.26E-05
404,0.135,6.00E-05
405,0.135,5.77E-05
406,0.136,5.40E-05
407,0.136,5.32E-05
408,0.136,5.37E-05
409,0.137,5.58E-05
410,0.137,5.82E-05
411,0.137,5.81E-05
412,0.138,5.88E-05
413,0.138,6.11E-05
414,0.138,6.37E-05
415,0.139,6.52E-05
416,0.139,6.35E-05
417,0.139,6.05E-05
418,0.14,5.85E-05
419,0.14,5.79E-05
420,0.14,5.67E-05
421,0.141,5.61E-05
422,0.141,5.65E-05
423,0.141,5.82E-05
424,0.142,5.86E-05
425,0.142,5.66E-05
426,0.142,5.82E-05
427,0.143,6.20E-05
428,0.143,6.53E-05
429,0.143,6.35E-05
430,0.144,5.85E-05
431,0.144,5.62E-05
432,0.144,5.50E-05
433,0.145,5.63E-05
434,0.145,5.58E-05
435,0.145,5.43E-05
436,0.146,5.52E-05
437,0.146,5.68E-05
438,0.146,5.82E-05
439,0.147,5.63E-05
440,0.147,5.32E-05
441,0.147,5.22E-05
442,0.148,5.31E-05
443,0.148,5.29E-05
444,0.148,5.28E-05
445,0.149,5.40E-05
446,0.149,5.42E-05
447,0.149,5.27E-05
448,0.15,4.99E-05
449,0.15,4.95E-05
450,0.15,5.06E-05
451,0.151,5.06E-05
452,0.151,5.10E-05
453,0.151,5.26E-05
454,0.152,5.23E-05
455,0.152,5.25E-05
456,0.152,5.42E-05
457,0.153,5.79E-05
458,0.153,5.95E-05
459,0.153,5.84E-05
460,0.154,5.59E-05
461,0.154,5.52E-05
462,0.154,5.42E-05
463,0.155,5.26E-05
464,0.155,5.16E-05
465,0.155,5.20E-05
466,0.156,5.44E-05
467,0.156,5.52E-05
468,0.156,5.40E-05
469,0.157,5.17E-05
470,0.157,5.11E-05
471,0.157,5.04E-05
472,0.158,4.90E-05
473,0.158,4.85E-05
474,0.158,4.98E-05
475,0.159,5.19E-05
